run_label,concurrent_requests,request_size_images,total_images,throughput_img_per_sec,time_to_clear_sec,time_to_clear_min
run_001_20imgs,100,4,400,0.17058605545430425,2344.8575496673584,39.08095916112264
run_001_20imgs,1000,4,4000,0.17058605545430425,23448.575496673584,390.8095916112264
run_001_20imgs,10000,4,40000,0.17058605545430425,234485.75496673584,3908.095916112264
run_002_50imgs,100,4,400,0.1905052132392497,2099.680072784424,34.9946678797404
run_002_50imgs,1000,4,4000,0.1905052132392497,20996.80072784424,349.946678797404
run_002_50imgs,10000,4,40000,0.1905052132392497,209968.00727844238,3499.4667879740396
run_003_100imgs,100,4,400,0.20030838808734874,1996.9208669662473,33.282014449437455
run_003_100imgs,1000,4,4000,0.20030838808734874,19969.208669662476,332.8201444943746
run_003_100imgs,10000,4,40000,0.20030838808734874,199692.08669662476,3328.201444943746
run_004_200imgs,100,4,400,0.20216659754450295,1978.566216468811,32.97610360781352
run_004_200imgs,1000,4,4000,0.20216659754450295,19785.66216468811,329.7610360781352
run_004_200imgs,10000,4,40000,0.20216659754450295,197856.6216468811,3297.6103607813516
run_005_500imgs,100,4,400,0.3798708308249713,1052.9895099639893,17.54982516606649
run_005_500imgs,1000,4,4000,0.3798708308249713,10529.895099639893,175.49825166066486
run_005_500imgs,10000,4,40000,0.3798708308249713,105298.95099639893,1754.9825166066487
run_006_1000imgs,100,4,400,0.38869135487286693,1029.0941514015199,17.15156919002533
run_006_1000imgs,1000,4,4000,0.38869135487286693,10290.941514015198,171.5156919002533
run_006_1000imgs,10000,4,40000,0.38869135487286693,102909.41514015198,1715.156919002533
